FS_PERM_SEC_ID,FF_MKT_VAL_CURR,DATE,FF_FPNC,FF_SALES,FF_OPER_EXP_TOT,FF_CASH_ST,FF_CASH_ONLY,FF_INVEN,FF_ASSETS_CURR,FF_INTANG,FF_ASSETS,FF_LIABS_CURR,FF_DEBT_ST,FF_PAY_ACCT,FF_DEBT_LT,FF_COM_EQ,FF_DEBT,FF_SHLDRS_EQ,FF_WKCAP_CHG,FF_DIV_CF,FF_BPS,FF_COM_SHS_OUT,FF_PPE_NET,FF_RECEIV_ST,FF_DIV_PAY_OUT_PS,FF_AMORT_CF,FF_COM_EQ_RETAIN_EARN,FF_DEP_EXP,FF_GW,FF_PENS_EXP_NPP_NET,FF_DEBT_ST_NOTES_PAY,FF_DIV_COM_CF,FF_DEBT_LT_REDUCT_CF,FF_COGS_XDEP,FF_DEP_AMORT_EXP,FF_RD_EXP,FF_COGS,FF_INT_EXP_NET,FF_NET_INC,FF_LIABS,FF_OPER_CF,FF_CAPEX,FF_EBITDA_OPER,FF_SGA,FF_EBIT_OPER,FF_WKCAP
KZK6G2-S-US,,20101231,201012,121.463,122.382,,,,,11.995,2300.594,,44.999,,74.171,98.145,119.17,147.457,7.878,2.563,18.23393,5.38254612841,45.97,,0,,-34.273,,4.944,,,2.563,6.7,,4.327,,,2.44,-0.012,2153.137,43.798,5.431,,,,
BPQNV7-S-US,2741.53,20101231,201012,774.309,500.365,502.475,502.475,126.534,1450.404,15.012,2178.628,877.384,0,66.846,472.862,771.508,472.862,771.508,117.327,13.62,11.4602,67.320667,372.692,788.758,8.62068965517242,0.9,444.717,15.592,14.253,-3.7,,13.62,54.576,339.1,16.492,0,355.592,46.819,157.171,1407.12,341.738,17.999,290.436,144.773,273.944,573.02
G11B0V-S-US,3.05598,20100630,201006,6.115774,9.699912,3.98571,3.98571,1.564975,8.920106,20.443503,58.327494,13.555593,8.513524,2.965514,8.551061,34.568003,17.064585,34.568003,-0.246825,0,0.74348,46.494903,25.569782,2.94803,0,,-15.5986,0.645004,19.012321,,0.293746,0,4.288782,1.864076,0.645004,1.540744,2.50908,2.427675,-0.832159,24.020188,-3.978718,1.996018,-2.93914,7.190832,-3.58414,-4.635487
M3Y3HH-S-GB,1.71915,20101231,201012,0.11917684795847,1.47027959166164,5.27257049787628,3.41838852872609,0.08878101746878,7.79995529013509,0,12.0563344297896,1.25890205346022,0,0.04790342669178,0,10.694599687031,0,10.694599687031,-0.39574485925342,0,0.37864,28.2448,3.46373710599432,0.38450483824609,0,0,-18.0468176156868,0.02849881146833,0,,,0,0,0.11334754561268,0.02849881146833,0,0.14184635708101,0,-1.23192589574469,1.3617347427586,-1.81226532928162,0.92362057167819,-1.3226,1.32843323458063,-1.3511,6.54105323667487
N4M05Z-S-US,,20101231,201012,246.587,288.249,317.931,236.077,0,,8.465,431.467,,55.444,,0,291.491,55.444,291.491,-2.406,0,18.89185,15.42945925,9.741,37.378,0,0.447,-166.692,7.024,5.882,,,0,0,,7.471,,,0,-37.558,139.976,-33.438,2.777,-34.191,220.621,-41.662,
PM2RY0-S-CA,,20100831,201008,0,0.183724,0.354544,,0,0.400898,0,0.723441,0.510308,0,0.059111,0,0.213133,0,0.213133,0.012212,0,0.00849,25.094828,0.322543,0.046354,0,0,-3.819539,0.000917,0,,,0,0,0.03433,0.000917,0,0.035247,0,-0.049128,0.510308,0.089517,0.10821,-0.18281,0.019949,-0.18373,-0.10941
TMX3N9-S-CA,41.3829,20101231,201012,66.037,67.2,0.141,0.04,5.039,24.275,0.224,42.023,22.774,10.775,11.566,10.031,6.256,20.806,6.256,4.869,0,0.26987,23.18121800789,14.071,17.894,0,0.224,-30.217,2.149,,,0.27,0,5.743,55.455,2.373,,57.828,1.525,-3.832,35.767,-0.923,0.344,1.21,9.547,-1.163,1.501
N4KPPR-S-US,,20101231,201012,27.686488,21.908531,,,,,13.106648,577.035071,,21.457075,,25.898272,77.333439,47.355347,77.333439,2.315262,1.872882,9.80431,7.887702,10.562321,,48.9795918367347,,14.384059,,11.385323,,,1.872882,23,,1.226052,,,1.178721,3.805872,499.701632,7.96728,0.120329,,,,
KB97SR-S-ZW,383.684,20100630,201006,165.8867,168.963109,7.468053,7.457937,17.774075,43.722388,0,78.63862,32.245425,11.768367,16.562715,0,39.032351,11.768367,39.032351,-3.366211,0,0.57083,68.378808,34.288277,16.914565,0,,13.664755,1.715331,,,,0,0,144.309143,1.715331,0,146.024474,1.895891,2.896858,39.606269,-6.109619,1.959147,-1.36108,22.938635,-3.07641,11.476963
GPFP29-S-ZW,,20100930,201009,72.883473,76.501208,1.372343,0.766767,18.305876,26.116015,0,81.614181,27.329643,12.491675,11.016399,0,45.164883,12.491675,45.164883,-5.859527,0.161636,0.42883,105.320875,51.562059,6.437796,0,,-2.543745,1.4971,,,,0.161636,0,53.026008,1.4971,0,54.523108,2.158757,-2.451047,36.153944,-8.732055,2.517344,-2.12064,21.9781,-3.61774,-1.213628
